eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.6,-1.25,83.84,-2.28,1001,0.00037682356,0.0,2.7076817,-0.0006722401,0.33692062,-0.006377577781677246,1,256,16.357226975997037,16384
76.93,-1.77,88.29,-3.56,1477,0.00017009722,0.0,2.7067013,-0.00034646085,0.18689442,0.005343198776245117,2,512,27.44668027700027,32768
80.51,-2.57,81.66,-2.31,1464,0.0002897048,2.0345053e-05,2.706803,-0.00070197036,0.15299849,0.04586058855056763,3,768,38.63309424699764,49152
85.75,-2.37,87.88,-2.6,1459,0.0011084679,0.005391439,2.703268,-0.0009409676,0.12492932,0.12677854299545288,4,1024,49.85945181699935,65536
81.89,-2.37,82.58,-2.33,1438,0.0019483852,0.0082804365,2.6956995,-0.0021421947,0.14378831,0.2233625054359436,5,1280,61.252253927999845,81920
80.36,-1.83,82.16,-2.04,1438,0.0022748148,0.012776692,2.687831,-0.0025949145,0.11293749,0.3231474757194519,6,1536,72.64083887299785,98304
83.84,-2.37,85.55,-1.9,1417,0.0020511933,0.009358724,2.6758816,-0.0030223753,0.15456526,0.3655874729156494,7,1792,84.19608432099994,114688
84.26,-1.86,88.17,-2.17,1408,0.003386441,0.025878906,2.6707304,-0.0043268045,0.116134845,0.43667757511138916,8,2048,95.83035129699783,131072
87.71,-2.3,83.96,-1.9,1388,0.0032054565,0.025024414,2.657511,-0.0049320306,0.110578395,0.46458494663238525,9,2304,107.62942264499725,147456
84.98,-0.6,90.57,-2.01,1380,0.0031048497,0.027832031,2.6520672,-0.0059029604,0.09511457,0.49583786725997925,10,2560,119.49523357499857,163840
83.29,-1.2,83.71,-1.58,1386,0.0042993776,0.03765869,2.6548488,-0.006316704,0.10280764,0.46956998109817505,11,2816,131.3106476469984,180224
81.62,-0.87,79.49,-0.68,1397,0.0039932416,0.036987305,2.6428037,-0.006238831,0.10572734,0.5251123011112213,12,3072,143.03384474799896,196608
83.16,-0.98,84.23,-1.32,1403,0.0041622105,0.03531901,2.6473897,-0.0047300668,0.09280228,0.49501413106918335,13,3328,154.70966776699788,212992
82.7,-0.85,87.36,-1.02,1387,0.005038677,0.05714925,2.6184251,-0.009793044,0.073483415,0.5566722750663757,14,3584,166.52118801699908,229376
79.09,-0.41,85.94,-1.05,1403,0.0048744073,0.05436198,2.6157606,-0.008826205,0.08413089,0.5068312585353851,15,3840,178.1932118320001,245760
78.95,-0.68,84.47,-0.68,1393,0.005805978,0.06717936,2.6048415,-0.010620825,0.079794936,0.5450936555862427,16,4096,189.950908109,262144
78.23,-0.83,81.65,-0.62,1387,0.006322174,0.07950846,2.580383,-0.013733474,0.0697169,0.6074460744857788,17,4352,201.75771434999842,278528
82.34,-0.63,78.71,-0.28,1394,0.0065055676,0.082214355,2.5889866,-0.012843656,0.07237696,0.548573225736618,18,4608,213.50441053099712,294912
76.04,0.16,81.26,-0.53,1387,0.00787989,0.103881836,2.5696702,-0.010743293,0.063641585,0.5355037748813629,19,4864,225.3126328369981,311296
82.68,-0.11,79.5,-0.1,1391,0.008153472,0.10886637,2.555478,-0.013325614,0.06884051,0.5674105882644653,20,5120,237.08374134199767,327680
77.05,0.01,82.85,-0.16,1399,0.007665697,0.10105387,2.5388057,-0.011629659,0.059987675,0.590988427400589,21,5376,248.7902243089993,344064
77.49,0.09,79.95,0.33,1399,0.008193173,0.10797119,2.5274258,-0.014170065,0.057219196,0.5848236382007599,22,5632,260.49474934599857,360448
77.72,0.45,81.92,0.05,1392,0.008662018,0.11710612,2.5167184,-0.013832155,0.05156525,0.5507422387599945,23,5888,272.2644186439975,376832
80.64,0.16,79.15,0.29,1395,0.010725451,0.14575195,2.5179565,-0.015947806,0.05800809,0.5263557434082031,24,6144,284.0052795619995,393216
81.57,0.36,78.65,0.85,1394,0.01022263,0.13885498,2.5432985,-0.011369572,0.056698497,0.47986900806427,25,6400,295.75086149100025,409600
80.71,0.28,76.62,0.37,1404,0.010089227,0.13879395,2.5069954,-0.017477343,0.0471321,0.5523420870304108,26,6656,307.4190272969972,425984
81.26,0.7,76.3,0.59,1394,0.009887503,0.12821452,2.5109875,-0.016866732,0.04757448,0.5408561825752258,27,6912,319.16514683700007,442368
76.73,0.56,83.94,0.94,1392,0.009251854,0.12060547,2.4969501,-0.014397754,0.05524287,0.6038805842399597,28,7168,330.93060441299895,458752
