eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.87,-1.99,86.03,-2.45,1029,0.00017309158,0.0,2.707883,-0.00035838425,0.29599002,-0.006334900856018066,1,256,15.912965490002534,16384
87.47,-2.39,88.36,-3.34,1517,5.5282548e-05,0.0,2.70737,-0.00017621141,0.17201811,-0.008631229400634766,2,512,26.7085823140078,32768
78.31,-1.84,89.22,-2.25,1508,0.0008804127,0.0008748372,2.705162,-0.00062184647,0.14571075,0.011953115463256836,3,768,37.56998948000546,49152
81.59,-2.14,91.78,-2.8,1491,0.0010592098,0.0033772786,2.6967418,-0.0010884908,0.13318953,0.06522387266159058,4,1024,48.55252057200414,65536
84.16,-2.42,89.12,-3.39,1481,0.0018092418,0.011230469,2.6906767,-0.0017898706,0.14656436,0.1385263204574585,5,1280,59.61072544900526,81920
83.39,-2.61,84.84,-1.81,1471,0.0025569194,0.008829753,2.6825314,-0.002227824,0.13209462,0.211070716381073,6,1536,70.74863255899982,98304
87.19,-2.45,83.74,-2.48,1455,0.005337493,0.021341959,2.651842,-0.0039825197,0.14060342,0.29684174060821533,7,1792,82.0028964880039,114688
82.43,-1.74,88.27,-2.35,1438,0.0028853554,0.018900553,2.6562605,-0.0032152003,0.12668096,0.35872185230255127,8,2048,93.39336523300153,131072
79.84,-1.93,80.14,-1.14,1430,0.0026331886,0.01767985,2.675443,-0.0040637897,0.11938978,0.36726701259613037,9,2304,104.84939235499769,147456
86.35,-1.92,90.09,-1.92,1439,0.0034016783,0.031107584,2.6594024,-0.004920923,0.10928136,0.45372575521469116,10,2560,116.22975028799556,163840
87.05,-1.53,87.08,-1.81,1447,0.0035585547,0.033548992,2.6567514,-0.0063170027,0.09300309,0.500132292509079,11,2816,127.54849550100334,180224
84.73,-2.17,86.9,-1.27,1452,0.003768108,0.031270344,2.643389,-0.0070052347,0.09975674,0.47023308277130127,12,3072,138.8287375439977,196608
78.64,-1.28,83.85,-1.91,1462,0.0043882034,0.041849773,2.6385877,-0.008225041,0.081089504,0.482577919960022,13,3328,150.02963007999642,212992
81.5,-0.86,87.81,-1.39,1456,0.0053454656,0.05706787,2.6258514,-0.009608069,0.0768918,0.5543322265148163,14,3584,161.27934988500783,229376
