eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.11,-2.34,86.41,-2.63,1046,0.00015711326,0.0,2.7078934,-0.00049553055,0.32333052,0.015938937664031982,1,256,15.659247718000188,16384
80.0,-2.49,81.78,-2.54,1541,0.00043774195,0.0,2.7064927,-0.0007638384,0.16692872,0.07395333051681519,2,512,26.29158402699977,32768
85.1,-2.68,86.22,-2.81,1535,0.001242536,0.002665202,2.6998215,-0.00087245833,0.14541946,0.094887375831604,3,768,36.95978673399986,49152
89.14,-2.72,76.98,-2.24,1546,0.0017573939,0.016418457,2.6946175,-0.0015614728,0.15832143,0.15503883361816406,4,1024,47.55795206199946,65536
89.95,-2.78,86.37,-2.16,1530,0.0031163155,0.02170817,2.6820564,-0.0022167272,0.13353385,0.2489393949508667,5,1280,58.26420166199932,81920
87.2,-2.29,88.38,-2.65,1507,0.0025501081,0.01175944,2.6857007,-0.002451347,0.14174722,0.3123852014541626,6,1536,69.13584824299869,98304
93.68,-2.41,81.31,-2.3,1503,0.003819361,0.018066406,2.670163,-0.0031267041,0.11394829,0.40264958143234253,7,1792,80.03145652300009,114688
85.55,-2.11,86.29,-2.71,1484,0.0022911397,0.012349446,2.6619818,-0.0033951092,0.114550166,0.4448595643043518,8,2048,91.06606488299985,131072
82.27,-1.71,85.45,-1.77,1478,0.0032739697,0.026692709,2.652334,-0.005185729,0.09833924,0.4829391837120056,9,2304,102.14761475699925,147456
86.81,-2.16,81.93,-2.38,1470,0.0038911279,0.02746582,2.6455166,-0.0045374143,0.11406685,0.5778199136257172,10,2560,113.29049962799945,163840
78.92,-2.06,84.92,-1.72,1482,0.003575065,0.028849283,2.6330488,-0.006161897,0.108685434,0.594220370054245,11,2816,124.34235859799992,180224
85.27,-1.49,85.76,-1.73,1464,0.0041150986,0.030354818,2.619892,-0.0060608764,0.09837835,0.6110193133354187,12,3072,135.53408301499985,196608
85.43,-1.09,84.93,-1.66,1466,0.004310303,0.039326984,2.6104481,-0.006187951,0.07685098,0.6501993238925934,13,3328,146.7094203529996,212992
85.29,-0.41,79.45,-1.38,1476,0.004517606,0.043619793,2.575551,-0.009621759,0.06747952,0.6683283746242523,14,3584,157.80961666199983,229376
83.9,-0.78,85.23,-1.03,1483,0.00587742,0.067464195,2.5625896,-0.0098413285,0.06192651,0.6900240480899811,15,3840,168.8539878369993,245760
80.31,-0.56,78.12,-0.69,1479,0.0062181302,0.07187907,2.585797,-0.012061242,0.06249286,0.6876797378063202,16,4096,179.93148372799988,262144
82.47,-0.05,77.78,-1.03,1482,0.006213783,0.07625326,2.5810397,-0.012485952,0.06298904,0.6526883244514465,17,4352,190.98713095200037,278528
87.02,-0.5,80.43,-0.82,1469,0.0062965057,0.074645996,2.5769937,-0.011262257,0.05878186,0.6942314505577087,18,4608,202.1353792709997,294912
78.83,-0.26,79.68,-0.82,1474,0.005990227,0.07051595,2.5899558,-0.011218729,0.057324454,0.6725762486457825,19,4864,213.2465033009994,311296
84.14,0.07,81.76,-1.09,1476,0.0063288473,0.0822347,2.586903,-0.01428052,0.05809323,0.6391323208808899,20,5120,224.34049685299942,327680
82.61,-0.07,85.07,-0.61,1457,0.007940252,0.100606285,2.5682967,-0.013155638,0.05307807,0.5961828231811523,21,5376,235.57993948299918,344064
81.02,0.09,85.01,-0.36,1468,0.009385692,0.12266032,2.5721347,-0.012775831,0.063541435,0.5585944652557373,22,5632,246.73803820299872,360448
90.57,0.26,80.96,-0.54,1472,0.006627765,0.08091227,2.5593967,-0.014845297,0.052306026,0.6982806324958801,23,5888,257.86902654799997,376832
83.86,0.86,83.61,-0.77,1462,0.00880243,0.115356445,2.5421326,-0.016800953,0.04681701,0.6708696484565735,24,6144,269.075275625999,393216
80.35,0.15,82.84,-0.24,1473,0.010598457,0.14569092,2.5327172,-0.009675912,0.049243793,0.6147128939628601,25,6400,280.1940515469996,409600
78.42,0.49,84.56,-0.34,1480,0.008575074,0.110839844,2.5373683,-0.016326766,0.03889787,0.6350193917751312,26,6656,291.26430989399887,425984
90.85,0.7,83.24,-0.63,1461,0.010256394,0.13395183,2.5305264,-0.016433535,0.03876931,0.6860315501689911,27,6912,302.4768326049998,442368
85.87,0.84,82.1,-0.08,1466,0.009745699,0.12740071,2.54626,-0.015638854,0.04595445,0.6699946820735931,28,7168,313.6520333799999,458752
88.77,0.79,82.71,0.65,1464,0.009441734,0.12856038,2.5434923,-0.017449,0.05313079,0.6544240713119507,29,7424,324.83800074399915,475136
90.27,1.0,81.37,-0.2,1463,0.010479853,0.13700359,2.5471303,-0.017671727,0.052875485,0.697583943605423,30,7680,336.0373991309989,491520
81.37,0.77,83.17,0.13,1474,0.011048873,0.14506023,2.5269926,-0.017823348,0.051228967,0.7196028232574463,31,7936,347.1527174189996,507904
95.96,1.17,85.8,-0.04,1475,0.01061233,0.14335124,2.5041976,-0.018680146,0.056127507,0.7302230894565582,32,8192,358.26076354199904,524288
92.64,1.12,83.81,0.69,1472,0.014528818,0.1828003,2.5060139,-0.015216894,0.043394495,0.7410849630832672,33,8448,369.38478513299924,540672
90.01,1.46,86.46,0.3,1474,0.01130661,0.15631104,2.497551,-0.019010855,0.03741138,0.7801732569932938,34,8704,380.494423746999,557056
89.08,2.01,82.34,0.54,1471,0.010892606,0.15008545,2.477062,-0.01854699,0.033231363,0.7828994542360306,35,8960,391.6273367880003,573440
98.08,2.21,92.88,0.73,1473,0.012035329,0.16733806,2.4532225,-0.015464646,0.0275056,0.8373153954744339,36,9216,402.74673059199995,589824
97.59,2.43,85.6,0.58,1474,0.013141721,0.17384847,2.4576173,-0.017857222,0.039632984,0.7757242619991302,37,9472,413.86014016899935,606208
90.78,1.75,89.2,0.76,1453,0.010615715,0.13618977,2.429579,-0.018407712,0.0465396,0.8011728227138519,38,9728,425.1328064239988,622592
92.69,2.09,91.31,1.19,1478,0.012868603,0.1686198,2.4212697,-0.016657257,0.049600895,0.785895511507988,39,9984,436.21301513399885,638976
94.5,2.28,100.76,0.58,1459,0.012942806,0.17093913,2.4056704,-0.019929264,0.054479837,0.7843095660209656,40,10240,447.4410829440003,655360
101.39,1.51,105.5,1.32,1472,0.013375421,0.17323811,2.3791878,-0.017591143,0.06794908,0.789684608578682,41,10496,458.56522000400037,671744
98.01,2.88,95.57,1.15,1467,0.013243322,0.17704265,2.3819587,-0.020282209,0.047719795,0.8419318944215775,42,10752,469.7286596539998,688128
103.73,2.95,89.95,0.79,1482,0.013548533,0.18572998,2.3669305,-0.020765921,0.044693023,0.867760419845581,43,11008,480.7816538899988,704512
116.69,2.41,107.13,1.08,1466,0.012097002,0.16430664,2.373422,-0.01717739,0.055803422,0.7883580923080444,44,11264,491.9552663350005,720896
106.44,2.7,111.14,1.63,1479,0.012834161,0.16888428,2.37008,-0.022959085,0.049442697,0.8434174805879593,45,11520,503.029417243999,737280
119.61,3.14,109.7,0.88,1482,0.013719262,0.17614746,2.3443682,-0.014389355,0.14463906,0.6394422650337219,46,11776,514.0853613439995,753664
123.26,3.26,117.73,1.5,1485,0.01114663,0.15128581,2.331716,-0.01203075,0.09626591,0.7642864733934402,47,12032,525.112902466999,770048
129.2,3.19,103.52,1.41,1469,0.013949197,0.18058269,2.3394146,-0.012970015,0.1011151,0.7470438182353973,48,12288,536.2608922679992,786432
135.07,3.47,115.56,1.38,1479,0.012910523,0.16257732,2.3597066,-0.016600462,0.09288352,0.7207255065441132,49,12544,547.3358732929992,802816
126.48,3.7,104.21,1.56,1476,0.01109758,0.15171306,2.3727858,-0.015874237,0.09495234,0.7330197691917419,50,12800,558.4323084919997,819200
137.01,3.65,115.28,1.59,1480,0.013408363,0.18107097,2.3380396,-0.01923384,0.07120822,0.813994824886322,51,13056,569.5008615059996,835584
135.07,3.7,103.03,1.46,1481,0.014659087,0.18947347,2.3633556,-0.015468831,0.096546136,0.7366584241390228,52,13312,580.5572603709988,851968
122.01,2.95,122.64,1.96,1476,0.014756951,0.18868001,2.3450701,-0.020376323,0.07076981,0.8105907589197159,53,13568,591.6545460739999,868352
125.83,3.55,126.73,1.69,1484,0.014599939,0.19679768,2.3502386,-0.02091395,0.062774844,0.8421562165021896,54,13824,602.6917454399991,884736
133.46,3.49,119.4,2.36,1476,0.011746026,0.16009521,2.335221,-0.013278276,0.099871606,0.8025501370429993,55,14080,613.789912831,901120
115.35,2.35,109.96,1.16,1481,0.010092998,0.12980144,2.352599,-0.020027457,0.09078986,0.7998734712600708,56,14336,624.8526642830002,917504
149.96,3.87,123.79,2.35,1480,0.014907154,0.19173177,2.3257558,-0.021619538,0.09899751,0.7866409868001938,57,14592,635.9200644350003,933888
162.94,4.61,134.39,2.22,1488,0.012397195,0.16027832,2.3335767,-0.015231848,0.1090186,0.7999259978532791,58,14848,646.9311424400003,950272
161.23,4.59,144.15,1.82,1482,0.013033205,0.17138672,2.3040762,-0.022156605,0.09572963,0.8265015184879303,59,15104,657.9843195020003,966656
165.73,4.78,150.99,2.76,1477,0.014389751,0.18361409,2.2996323,-0.02004384,0.1090688,0.815392330288887,60,15360,669.0755269580004,983040
149.58,4.06,149.73,3.29,1484,0.012629151,0.16560872,2.3071976,-0.02125763,0.10136766,0.819070115685463,61,15616,680.1134964899993,999424
148.16,4.37,139.92,3.07,1488,0.014425997,0.18375652,2.300983,-0.02187728,0.09730893,0.8421066850423813,62,15872,691.1202031739995,1015808
146.73,4.25,129.45,2.04,1483,0.013020615,0.17323811,2.2856054,-0.016764482,0.09023742,0.8642688691616058,63,16128,702.1652109890001,1032192
156.39,5.07,148.9,3.04,1475,0.014764977,0.19063313,2.2457702,-0.022706227,0.0941338,0.8700870126485825,64,16384,713.2702662659995,1048576
180.84,6.49,148.73,4.01,1492,0.013703351,0.17067464,2.2350807,-0.01734888,0.13037083,0.8752441704273224,65,16640,724.250764819999,1064960
160.86,4.95,166.59,3.02,1461,0.013423592,0.17484538,2.2638204,-0.021616353,0.119551055,0.8623499423265457,66,16896,735.4625214859989,1081344
161.67,4.85,147.17,3.36,1488,0.014553331,0.18593343,2.269788,-0.021227354,0.0995545,0.8617970049381256,67,17152,746.4702137599998,1097728
174.37,5.21,141.5,2.73,1475,0.012424336,0.16239421,2.253536,-0.020350505,0.113887556,0.8767005875706673,68,17408,757.5748511000002,1114112
185.05,6.66,147.64,3.26,1482,0.0133800125,0.17441814,2.2363358,-0.021593248,0.12474572,0.9009227603673935,69,17664,768.628263569999,1130496
160.1,5.63,149.38,3.21,1475,0.011770468,0.1519572,2.2406878,-0.018114237,0.11618364,0.8897652179002762,70,17920,779.7309966379999,1146880
191.86,5.48,155.04,3.94,1479,0.014650392,0.17053223,2.2134826,-0.01821638,0.16017547,0.8610678613185883,71,18176,790.8052668179989,1163264
171.82,5.5,168.16,3.44,1484,0.016012046,0.19108073,2.2342606,-0.020241173,0.11540675,0.9033267572522163,72,18432,801.8446419849988,1179648
169.84,4.59,148.82,3.48,1482,0.01597658,0.20017497,2.2318017,-0.02263244,0.12418335,0.8818734884262085,73,18688,812.8936127380002,1196032
186.55,5.78,159.5,2.86,1475,0.014269762,0.17779541,2.19605,-0.020008724,0.14400317,0.9103821069002151,74,18944,824.0009339879998,1212416
192.7,7.6,139.33,3.01,1481,0.012801587,0.16536458,2.1809661,-0.012967446,0.16154312,0.9092807844281197,75,19200,835.0569095640003,1228800
189.69,7.39,183.31,3.64,1482,0.014867976,0.18548584,2.1665342,-0.021599801,0.20040165,0.8905675709247589,76,19456,846.1066906209999,1245184
206.86,7.02,183.53,3.89,1485,0.012131762,0.15802002,2.1419594,-0.012264361,0.20634885,0.9144838899374008,77,19712,857.1396445259998,1261568
201.73,7.21,182.39,4.23,1484,0.011036036,0.13399251,2.1621168,-0.013465849,0.20681363,0.9210247024893761,78,19968,868.1738185760005,1277952
203.16,7.35,168.64,3.89,1487,0.015930818,0.19272868,2.1616285,-0.022734046,0.18940921,0.9042910933494568,79,20224,879.190537516999,1294336
198.66,6.22,188.02,5.11,1486,0.016018247,0.19523112,2.155057,-0.024504373,0.14849402,0.9141483455896378,80,20480,890.2140258199997,1310720
198.16,7.91,194.23,5.5,1482,0.012335241,0.15366618,2.12825,-0.017090535,0.18970247,0.9331968128681183,81,20736,901.2669438939993,1327104
187.86,6.66,157.37,3.31,1483,0.015577514,0.18575032,2.1324341,-0.022550685,0.13867266,0.9265110641717911,82,20992,912.3115030949994,1343488
187.9,6.35,176.95,4.62,1489,0.014807616,0.1784261,2.1262345,-0.02050431,0.14936228,0.9336982890963554,83,21248,923.3097006360003,1359872
191.94,7.62,177.01,4.33,1491,0.015065628,0.1885376,2.117491,-0.020559996,0.13948415,0.9418467506766319,84,21504,934.2980102999991,1376256
207.82,7.27,175.3,5.17,1479,0.01416412,0.17797852,2.101538,-0.021068243,0.16751504,0.9351208209991455,85,21760,945.3717129429988,1392640
185.96,6.63,161.3,3.47,1483,0.015315191,0.18371582,2.1481555,-0.019404843,0.16191225,0.9203497022390366,86,22016,956.4187752239995,1409024
190.1,7.21,178.37,4.76,1481,0.014020279,0.1675415,2.1455157,-0.023504635,0.15378603,0.9274862036108971,87,22272,967.4773915570004,1425408
189.64,7.11,181.47,4.75,1482,0.013198715,0.16963704,2.1651506,-0.021164814,0.11424166,0.9398235902190208,88,22528,978.5260861610004,1441792
208.59,8.37,202.18,7.77,1488,0.010830178,0.13356526,2.1020143,-0.019651739,0.15769303,0.933782622218132,89,22784,989.5339346509991,1458176
226.73,9.83,217.0,7.09,1483,0.013956158,0.17195638,2.1350906,-0.022588456,0.18000974,0.926590159535408,90,23040,1000.5759314919997,1474560
190.57,7.48,212.89,5.88,1482,0.014570214,0.17706299,2.122063,-0.022460302,0.16322176,0.9095248430967331,91,23296,1011.6265160210005,1490944
225.68,8.92,214.33,6.81,1489,0.011207957,0.14904785,2.1284516,-0.018934544,0.17796583,0.9284430146217346,92,23552,1022.6271303209996,1507328
218.98,8.4,201.02,6.02,1485,0.017285502,0.1887207,2.0915236,-0.016150624,0.18882345,0.9055125638842583,93,23808,1033.6557385649994,1523712
226.07,8.15,215.24,6.87,1464,0.012749429,0.1582845,2.0654314,-0.02111637,0.20913577,0.9217799678444862,94,24064,1044.8399921420005,1540096
216.31,8.16,194.76,5.41,1488,0.014548232,0.17677815,2.113451,-0.02077842,0.20590614,0.9242141023278236,95,24320,1055.8478966089988,1556480
