eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.48,-2.84,85.32,-2.65,982,0.0005238673,0.0,2.7075527,-0.0007020239,0.4683824,0.003689289093017578,1,256,16.670637647999683,16384
83.39,-2.32,85.09,-2.81,1456,0.0007651557,0.0,2.7043695,-0.0006149132,0.16921453,0.013737857341766357,2,512,27.92175337200024,32768
80.65,-2.15,90.73,-2.25,1423,0.0040247063,0.0308431,2.6894655,-0.0026956552,0.15071206,0.09122997522354126,3,768,39.433131526999205,49152
78.6,-1.25,87.11,-2.74,1422,0.0041083824,0.020039877,2.6688783,-0.0026076734,0.11911601,0.25548118352890015,4,1024,50.95402978600032,65536
75.77,-1.58,83.48,-2.56,1412,0.0031581174,0.017293295,2.6474266,-0.00229056,0.12143027,0.45859938859939575,5,1280,62.55542604600123,81920
70.11,-1.42,76.99,-1.92,1398,0.001753135,0.010213216,2.647774,-0.0026342191,0.09644741,0.5137352645397186,6,1536,74.27367372300068,98304
76.43,-0.7,80.43,-2.3,1388,0.0037592787,0.024353027,2.6339648,-0.0028961597,0.084685445,0.599595695734024,7,1792,86.07394968399967,114688
73.45,-0.31,75.49,-1.31,1389,0.003755783,0.025899252,2.632397,-0.0037894102,0.06921299,0.6761524379253387,8,2048,97.86175385599927,131072
74.43,-1.71,77.2,-2.03,1386,0.005492252,0.040405273,2.6485815,-0.005752059,0.082600735,0.7367425858974457,9,2304,109.67936162399928,147456
76.72,-1.25,76.08,-1.3,1397,0.00367806,0.028076172,2.6410568,-0.005767012,0.08628585,0.7180680632591248,10,2560,121.40673114099991,163840
76.63,-0.89,82.67,-1.25,1400,0.004248786,0.041015625,2.6449692,-0.007133731,0.078858204,0.7039714753627777,11,2816,133.10273981299906,180224
77.4,-0.4,81.4,-1.38,1398,0.00403592,0.03786214,2.6297534,-0.007794466,0.06414363,0.750407874584198,12,3072,144.81937882299826,196608
75.71,-0.2,80.66,-1.55,1397,0.0043777814,0.042663574,2.6118643,-0.0072102565,0.06521481,0.7847105115652084,13,3328,156.54631239199807,212992
79.36,-0.31,74.86,-1.3,1371,0.0048894007,0.04996745,2.6088445,-0.007093426,0.06285397,0.7953760921955109,14,3584,168.49230162299864,229376
73.73,-0.26,82.79,-0.84,1391,0.0055421717,0.058410645,2.5999405,-0.007956426,0.059891466,0.6966044306755066,15,3840,180.26536554400082,245760
83.55,0.11,86.82,-0.81,1388,0.0048175897,0.047261555,2.6111073,-0.009730082,0.053149823,0.7440837025642395,16,4096,192.06448927100064,262144
76.14,-0.01,85.09,-0.94,1385,0.005966213,0.07059733,2.5720687,-0.010820937,0.052892104,0.8073744177818298,17,4352,203.88881339200088,278528
73.8,-0.07,85.98,-0.87,1393,0.0070247897,0.087768555,2.5565488,-0.0101018725,0.04576133,0.8089790195226669,18,4608,215.650025242001,294912
79.25,0.37,90.05,-0.93,1397,0.0074485983,0.08961996,2.563894,-0.010037235,0.046583157,0.7987657487392426,19,4864,227.37751992500125,311296
80.43,0.26,85.01,-0.78,1393,0.0075863968,0.10095215,2.5728996,-0.010663875,0.06177692,0.7536355257034302,20,5120,239.13745908700002,327680
78.9,0.2,84.53,-0.98,1389,0.008520796,0.108784996,2.5683973,-0.012240686,0.06479899,0.7414681017398834,21,5376,250.92804745299873,344064
84.27,0.55,88.95,-0.28,1394,0.0077803484,0.10042318,2.5612988,-0.011290167,0.046729606,0.7342559397220612,22,5632,262.68004960300095,360448
77.0,0.97,88.37,-0.99,1395,0.008208484,0.10345459,2.5545325,-0.013091278,0.045383904,0.7668313384056091,23,5888,274.42530547700153,376832
83.97,0.73,84.62,-0.46,1385,0.00743895,0.09220377,2.5583746,-0.012344067,0.05594385,0.6818934679031372,24,6144,286.25033882700154,393216
85.78,0.91,85.02,-0.72,1397,0.008851902,0.113586426,2.542633,-0.01332821,0.056537997,0.6988323628902435,25,6400,297.97508654600097,409600
85.83,0.77,85.22,-0.39,1396,0.008799724,0.11517334,2.5422127,-0.013080809,0.04845773,0.776947408914566,26,6656,309.7117565209992,425984
78.63,0.9,83.36,-0.96,1399,0.009229514,0.11686198,2.5142393,-0.014268185,0.051753417,0.6794190406799316,27,6912,321.4159927039982,442368
