eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
76.0,-1.87,83.72,-2.77,1017,0.00060469686,0.0,2.7075033,-0.0006622618,0.36439243,-0.02503371238708496,1,256,16.09963337699446,16384
78.48,-1.94,87.99,-3.26,1499,0.00019754475,0.0,2.7061481,-0.00025119213,0.1807391,0.017343640327453613,2,512,27.027799875999335,32768
79.72,-2.03,86.27,-2.38,1495,0.00030244203,0.0,2.705764,-0.00038807536,0.15549779,0.030633211135864258,3,768,37.98662783499458,49152
81.21,-2.31,85.91,-2.42,1485,0.0003976307,0.0004272461,2.7004225,-0.00052405323,0.1559876,0.036151230335235596,4,1024,49.01705960599793,65536
86.24,-2.61,89.46,-2.98,1475,0.0011841295,0.0026855469,2.693465,-0.0012129203,0.1439623,0.15523171424865723,5,1280,60.12204630499764,81920
79.9,-1.4,90.6,-1.89,1465,0.0010165722,0.0008544922,2.6917818,-0.001210207,0.12907498,0.20132368803024292,6,1536,71.30049669699656,98304
84.23,-1.9,85.24,-2.58,1454,0.0009300255,0.002400716,2.6936586,-0.0014954517,0.13334088,0.2501835823059082,7,1792,82.56568513099774,114688
86.37,-1.87,89.48,-2.45,1438,0.002068714,0.013163249,2.6883879,-0.003000934,0.12028121,0.3191366195678711,8,2048,93.95211902299343,131072
83.47,-2.18,90.32,-2.7,1421,0.002689191,0.019348145,2.6893835,-0.0044708587,0.11827815,0.33528822660446167,9,2304,105.47705338699598,147456
87.13,-1.89,83.75,-2.37,1433,0.0031193767,0.030456543,2.6786594,-0.0054672137,0.10247152,0.4071744680404663,10,2560,116.90585429599741,163840
88.73,-1.76,85.76,-1.46,1445,0.003253404,0.030354818,2.6731217,-0.007268106,0.086140074,0.48145705461502075,11,2816,128.24011249699834,180224
87.89,-0.99,85.97,-1.55,1452,0.0044774343,0.040547688,2.659146,-0.007109821,0.07641243,0.43588441610336304,12,3072,139.5178167569975,196608
84.01,-1.4,87.33,-2.32,1460,0.0037716478,0.03898112,2.65935,-0.009456118,0.07914507,0.4889071583747864,13,3328,150.73423600899696,212992
81.29,-1.48,88.02,-1.13,1446,0.005151857,0.057576496,2.64733,-0.011639717,0.08293129,0.47254443168640137,14,3584,162.05896740099706,229376
80.25,-0.78,82.54,-1.32,1444,0.005279228,0.061787922,2.6344628,-0.012751588,0.0832319,0.4487091302871704,15,3840,173.4055047629954,245760
82.95,-0.78,81.91,-1.16,1438,0.005660211,0.06691488,2.635903,-0.014239711,0.07918367,0.45958107709884644,16,4096,184.79477419599425,262144
83.55,-0.39,79.23,-0.34,1442,0.0058907294,0.06833903,2.628123,-0.012666374,0.06986691,0.45288264751434326,17,4352,196.1519170659958,278528
78.37,-0.14,86.99,-0.39,1448,0.0060504787,0.07185873,2.6155794,-0.015154096,0.06110205,0.5382115840911865,18,4608,207.46762695999496,294912
82.98,-0.1,82.48,-0.12,1448,0.0076587996,0.099487305,2.5883152,-0.016621796,0.06438769,0.5044575929641724,19,4864,218.78308853299677,311296
73.48,-0.1,85.15,-0.13,1451,0.008490824,0.112264,2.5822742,-0.013595584,0.057157952,0.573855459690094,20,5120,230.07355950499914,327680
85.68,0.19,82.14,0.15,1450,0.008903491,0.1167806,2.5881703,-0.014068186,0.06249092,0.5077925622463226,21,5376,241.36974678599654,344064
81.34,0.48,82.64,0.4,1448,0.009878423,0.1297404,2.5864367,-0.015096899,0.039336134,0.5039836764335632,22,5632,252.67878410199773,360448
79.22,0.41,82.71,0.25,1442,0.008885196,0.12093099,2.5889053,-0.016285041,0.054280683,0.4610304832458496,23,5888,264.04092807399866,376832
85.23,0.4,88.33,0.34,1439,0.010107362,0.1363322,2.574046,-0.017345697,0.054357406,0.5096646249294281,24,6144,275.4230936859967,393216
76.82,0.5,83.46,0.72,1441,0.009809876,0.13315837,2.5668933,-0.016931554,0.054437745,0.5151085555553436,25,6400,286.792895159997,409600
83.99,1.15,82.88,0.55,1447,0.010763519,0.14691162,2.5617793,-0.018061185,0.043299902,0.41898155212402344,26,6656,298.1086121679982,425984
87.04,1.31,84.44,0.75,1434,0.008919149,0.12259928,2.5529146,-0.018291362,0.045185193,0.455447793006897,27,6912,309.5317821129938,442368
87.99,0.93,91.64,0.56,1443,0.009260561,0.119771324,2.5490067,-0.017275618,0.07060232,0.4377060532569885,28,7168,320.8827210199961,458752
82.91,1.0,90.29,1.53,1432,0.012854208,0.1762085,2.5265024,-0.017782832,0.04170641,0.6214256286621094,29,7424,332.3168427019991,475136
81.95,0.69,85.86,1.15,1436,0.011817784,0.16208903,2.5160906,-0.01900754,0.059924606,0.5640399754047394,30,7680,343.72257986600016,491520
91.7,1.56,84.97,1.37,1430,0.010715696,0.14809163,2.5235095,-0.01922526,0.038694277,0.6067956686019897,31,7936,355.17829796799924,507904
92.73,1.34,93.98,1.4,1426,0.010429207,0.14109294,2.500003,-0.017798502,0.04156491,0.6191026568412781,32,8192,366.66400701599923,524288
94.81,1.79,94.96,1.53,1443,0.011524111,0.15871175,2.499527,-0.020365546,0.04856799,0.5863544642925262,33,8448,378.0185697429988,540672
94.34,2.11,91.41,1.37,1442,0.0122723235,0.16737874,2.4766061,-0.011923688,0.05898067,0.6515029072761536,34,8704,389.3782496339991,557056
100.05,1.95,94.18,1.6,1448,0.011789137,0.16414388,2.483412,-0.023016676,0.043566477,0.6735927164554596,35,8960,400.68728080999426,573440
94.09,1.8,95.33,1.57,1445,0.011069893,0.15181477,2.4613206,-0.02116567,0.04354159,0.6911174058914185,36,9216,412.0256986579989,589824
104.26,1.81,103.87,1.97,1444,0.016275475,0.20839436,2.4380558,-0.01188559,0.085351825,0.6046600639820099,37,9472,423.366864798998,606208
99.46,2.21,99.89,1.46,1445,0.01557606,0.20389812,2.4382305,-0.014574015,0.04479639,0.7130495011806488,38,9728,434.69903458299814,622592
100.2,2.01,111.23,1.98,1439,0.0109965475,0.15152995,2.4398646,-0.017426066,0.06645596,0.6537402868270874,39,9984,446.0812697089932,638976
111.44,2.12,109.95,2.39,1445,0.011465374,0.1587321,2.4163537,-0.021068856,0.04887557,0.7174316346645355,40,10240,457.41445642899635,655360
117.52,2.33,116.35,2.3,1443,0.011550173,0.15637207,2.386922,-0.0202693,0.059681892,0.7047230005264282,41,10496,468.7637916819949,671744
124.01,3.08,110.18,2.67,1435,0.011647794,0.15346272,2.399059,-0.017663952,0.095423736,0.616881251335144,42,10752,480.17951943299704,688128
119.24,2.34,107.31,2.34,1441,0.012283589,0.16766357,2.355131,-0.013563297,0.10160083,0.6246773898601532,43,11008,491.5466745329977,704512
125.89,3.31,126.39,2.87,1439,0.0137163615,0.18277995,2.3155277,-0.014788322,0.08253383,0.6787585020065308,44,11264,502.9282984679958,720896
127.85,3.02,119.0,2.73,1441,0.014355411,0.19435628,2.3203866,-0.017272258,0.08398495,0.6848615407943726,45,11520,514.2938155129959,737280
154.86,3.55,151.6,4.3,1438,0.010747741,0.14794922,2.293379,-0.017662698,0.0985812,0.6858251392841339,46,11776,525.6818388819956,753664
141.7,4.36,147.56,3.78,1435,0.014007776,0.18577068,2.3053734,-0.008575893,0.23295921,0.5594464838504791,47,12032,537.0988169439952,770048
138.58,3.51,159.12,4.24,1447,0.012256745,0.16316731,2.3151345,-0.016551396,0.09749668,0.7045492231845856,48,12288,548.4193222469985,786432
136.73,3.43,150.0,4.18,1449,0.011648147,0.15997314,2.2959485,-0.012824406,0.116773546,0.707231342792511,49,12544,559.7211845329948,802816
155.68,4.6,166.35,5.38,1444,0.015964702,0.21555583,2.3059032,-0.00370013,0.16795377,0.6702336370944977,50,12800,571.0658987599963,819200
172.93,5.73,179.28,5.46,1456,0.014534798,0.18513997,2.29396,-0.0019128438,0.20818521,0.7178583443164825,51,13056,582.3138308509951,835584
179.89,5.62,165.98,4.94,1451,0.009624845,0.12485758,2.2908452,-0.013080351,0.15694238,0.7426674365997314,52,13312,593.6044906499956,851968
169.03,5.2,200.3,7.23,1459,0.011629109,0.15100098,2.2623994,-0.0106882835,0.1778755,0.7478845417499542,53,13568,604.8321582649951,868352
176.28,5.55,202.41,6.63,1453,0.010172267,0.13376872,2.2819934,-0.015797518,0.1599708,0.7677123993635178,54,13824,616.1040124979991,884736
187.4,5.04,209.13,7.24,1451,0.012338129,0.15702312,2.259874,-0.014416773,0.17445122,0.7185725569725037,55,14080,627.3904526400001,901120
204.83,6.82,198.99,7.2,1455,0.010713529,0.14253743,2.2894204,-0.0088021085,0.20200129,0.780629113316536,56,14336,638.6445664139974,917504
227.49,8.77,205.32,7.98,1461,0.009937962,0.12821452,2.2597136,-0.010201468,0.23389184,0.7945062667131424,57,14592,649.8574375549942,933888
227.21,8.83,232.17,9.52,1455,0.011814997,0.1551717,2.2523186,-0.015936546,0.18951125,0.7965583503246307,58,14848,661.1133947329945,950272
219.39,8.39,227.59,9.03,1431,0.012700572,0.16408284,2.2664754,-0.013668521,0.18809779,0.8201509267091751,59,15104,672.5593837639972,966656
243.82,9.96,222.05,8.95,1451,0.010821144,0.13643391,2.2112663,-0.010325293,0.2531408,0.8422604650259018,60,15360,683.846704136995,983040
242.43,10.05,217.88,9.03,1458,0.012800683,0.16318767,2.229356,-0.015502897,0.2368267,0.8480901122093201,61,15616,695.0819016189998,999424
222.01,8.75,213.58,8.61,1461,0.011157613,0.1457723,2.1760879,-0.0075348807,0.26548862,0.8229843080043793,62,15872,706.2954473919963,1015808
250.61,11.03,242.35,10.99,1452,0.01225753,0.15016682,2.1520643,-0.007875216,0.3301376,0.8434779495000839,63,16128,717.5775321509936,1032192
226.71,10.42,254.34,11.74,1461,0.013498648,0.1718343,2.1805751,-0.0130235255,0.23760213,0.8392819762229919,64,16384,728.7871472829938,1048576
239.37,11.02,268.18,11.78,1464,0.0143350335,0.18062337,2.1795852,-0.015600516,0.26848444,0.8387049734592438,65,16640,739.9738157039974,1064960
232.78,10.1,251.49,10.94,1453,0.014262329,0.1821696,2.1698003,-0.010179341,0.27138308,0.8413213938474655,66,16896,751.2433949729966,1081344
248.93,11.42,264.42,11.44,1458,0.011023223,0.14308675,2.1345716,-0.0070492453,0.36402488,0.8302798420190811,67,17152,762.475574733995,1097728
