eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.16,-2.64,86.71,-3.12,1025,0.0002705955,0.0,2.7077553,-0.00029009403,0.43936697,0.018522441387176514,1,256,15.969323510999857,16384
79.6,-2.04,85.57,-2.44,1517,0.0006707371,4.0690105e-05,2.7057693,-0.0004979323,0.16515702,0.09723871946334839,2,512,26.76632507399995,32768
84.99,-2.99,82.64,-2.53,1521,0.002979181,0.014017741,2.697071,-0.0022907294,0.1571869,0.1766970157623291,3,768,37.53375244799986,49152
86.21,-1.54,83.07,-2.42,1506,0.0040585245,0.026794434,2.6775348,-0.0028424358,0.12588395,0.28791093826293945,4,1024,48.40913436899996,65536
81.62,-2.74,87.61,-2.16,1502,0.002894405,0.017374674,2.6723614,-0.0023615093,0.12134188,0.3609657287597656,5,1280,59.31520227099986,81920
82.04,-1.66,84.31,-2.45,1489,0.003689967,0.01924642,2.6792896,-0.0032441374,0.11474329,0.38296830654144287,6,1536,70.31629306899981,98304
78.28,-2.19,80.52,-2.27,1478,0.005447431,0.0359904,2.6523256,-0.004810931,0.109315775,0.4767264723777771,7,1792,81.39577411099981,114688
80.74,-1.94,78.78,-1.82,1463,0.0021719916,0.013264974,2.6423213,-0.0021911312,0.10136008,0.5263041853904724,8,2048,92.59025083699999,131072
80.33,-1.62,81.92,-2.13,1434,0.0019973197,0.015258789,2.64638,-0.0034242633,0.10122982,0.5028200745582581,9,2304,104.0126435069999,147456
78.52,-1.46,81.17,-1.96,1444,0.0024468098,0.016540527,2.6512368,-0.0042986893,0.102643825,0.5221544206142426,10,2560,115.35407756299992,163840
80.19,-1.96,80.66,-1.41,1426,0.003895804,0.03277588,2.6308935,-0.005196803,0.11201466,0.5624162256717682,11,2816,126.83726133599998,180224
78.77,-1.59,78.66,-0.8,1452,0.004387532,0.044453938,2.6221426,-0.0071714553,0.09245663,0.5490138828754425,12,3072,138.11922955499995,196608
81.77,-1.78,81.32,-0.91,1463,0.005447145,0.061991375,2.624401,-0.007917096,0.08584333,0.5565697848796844,13,3328,149.31111329299983,212992
80.28,-0.98,74.32,-1.33,1460,0.0048449314,0.048339844,2.6002288,-0.00939332,0.060174543,0.5775009989738464,14,3584,160.5283017339998,229376
78.95,-0.87,81.04,-0.79,1460,0.0044250996,0.047912598,2.5987432,-0.009383907,0.06842352,0.5155497789382935,15,3840,171.744057118,245760
81.19,-0.47,80.7,-0.83,1446,0.0056830174,0.07118734,2.5948892,-0.01119204,0.05802065,0.5092728435993195,16,4096,183.0682054439999,262144
78.98,-0.34,80.18,-0.31,1448,0.0055270814,0.061197918,2.60125,-0.011776246,0.056023076,0.4900803565979004,17,4352,194.38156105999997,278528
77.84,-0.49,78.3,-0.63,1443,0.007089026,0.088887535,2.5734603,-0.013442324,0.06428846,0.5479731559753418,18,4608,205.73509323999997,294912
79.0,0.19,81.86,-0.49,1456,0.0063224584,0.07576498,2.582966,-0.013288722,0.06523026,0.4724493622779846,19,4864,216.98667177599987,311296
79.94,-0.26,78.41,-0.09,1450,0.006029774,0.07307943,2.581074,-0.014277436,0.05900493,0.4494324326515198,20,5120,228.284804785,327680
78.16,-0.15,79.73,-0.12,1453,0.0075657037,0.09718832,2.5758755,-0.013109308,0.07873701,0.42568373680114746,21,5376,239.55488490899984,344064
79.22,0.14,79.31,-0.73,1455,0.007876141,0.102864586,2.569207,-0.013091437,0.048032496,0.49606090784072876,22,5632,250.80843906199993,360448
78.4,-0.14,79.32,-0.01,1443,0.007930799,0.09914144,2.572262,-0.012978111,0.057350382,0.49780774116516113,23,5888,262.16120428599993,376832
79.26,-0.18,81.27,-0.1,1448,0.010068222,0.13500977,2.5555904,-0.014969076,0.061713528,0.470969557762146,24,6144,273.47030665499983,393216
76.95,-0.37,80.1,0.2,1440,0.0077280863,0.09720866,2.5454159,-0.016384587,0.06328959,0.49393439292907715,25,6400,284.84437246599987,409600
79.42,0.01,81.15,0.1,1447,0.00825638,0.10827637,2.564048,-0.015088546,0.0649943,0.49905192852020264,26,6656,296.161229671,425984
81.88,0.02,83.35,-0.07,1448,0.008351111,0.10764567,2.5524457,-0.016119774,0.061998934,0.5087972283363342,27,6912,307.47605733499995,442368
82.49,0.5,80.73,0.47,1454,0.008084287,0.10646566,2.55901,-0.015053746,0.05437687,0.5088702738285065,28,7168,318.74250313799985,458752
78.55,0.21,86.52,0.28,1447,0.009532069,0.1281128,2.5593853,-0.016458284,0.05597953,0.46788501739501953,29,7424,330.0606366689999,475136
82.02,0.73,79.12,0.53,1450,0.009739601,0.1338501,2.5192132,-0.017681664,0.05415832,0.5404624938964844,30,7680,341.355307907,491520
80.31,0.86,81.28,0.64,1451,0.011657801,0.16015625,2.5202143,-0.01665949,0.045619056,0.5578173398971558,31,7936,352.64448285599997,507904
83.04,1.11,81.29,0.38,1443,0.009976956,0.13496907,2.4998977,-0.019491874,0.0499091,0.5380739271640778,32,8192,363.9973705819998,524288
82.36,1.01,80.53,0.73,1450,0.010370678,0.13895671,2.5052755,-0.01863245,0.053206902,0.5590309202671051,33,8448,375.29499513199994,540672
79.21,1.17,88.15,1.13,1452,0.011348918,0.15386963,2.4840577,-0.018468766,0.049363364,0.6034931838512421,34,8704,386.578439076,557056
91.43,1.27,89.72,0.84,1455,0.012610166,0.16361491,2.4745717,-0.018018788,0.0585855,0.6154101192951202,35,8960,397.83420554199984,573440
81.86,1.06,94.96,1.29,1445,0.012624662,0.16953532,2.4711504,-0.018398875,0.06081471,0.5757184028625488,36,9216,409.1727561339999,589824
88.28,1.38,97.23,1.5,1438,0.010266894,0.14400227,2.4391649,-0.016739447,0.056296155,0.6507382690906525,37,9472,420.561130692,606208
91.05,1.7,93.32,1.03,1437,0.0105113685,0.1441447,2.440861,-0.016666844,0.07435887,0.6001726388931274,38,9728,431.95963393199986,622592
92.98,1.61,96.48,1.65,1445,0.0114404,0.15795898,2.4345253,-0.017089153,0.051817756,0.6873401999473572,39,9984,443.29541951299984,638976
89.29,1.69,95.86,1.71,1447,0.011375945,0.15541585,2.4166896,-0.019186,0.055529293,0.6710517704486847,40,10240,454.6128718089999,655360
97.27,2.24,95.82,1.91,1449,0.017716572,0.22088623,2.425534,-0.0076457993,0.060604885,0.7150877714157104,41,10496,465.919831315,671744
94.95,2.17,98.05,1.47,1447,0.012612872,0.17586263,2.4042602,-0.019453926,0.064323895,0.7386225759983063,42,10752,477.2418799339998,688128
98.2,1.96,99.38,1.98,1448,0.013497803,0.18676758,2.3911328,-0.020166269,0.068671815,0.7227504551410675,43,11008,488.550760439,704512
107.02,2.36,94.97,1.54,1453,0.011273023,0.14961751,2.3956988,-0.018116407,0.059958998,0.6969354748725891,44,11264,499.82352672499997,720896
