eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.52,-2.83,85.0,-2.36,1008,0.00010310573,0.0,2.707947,-0.00027285292,0.36610234,0.012692391872406006,1,256,16.244498436999947,16384
88.05,-3.21,90.44,-2.53,1479,9.800512e-05,0.0,2.7075632,-0.0003933053,0.17005247,0.044045865535736084,2,512,27.316706175000036,32768
82.11,-2.73,85.48,-2.1,1324,0.001996691,0.010965983,2.7033873,-0.0020746368,0.13049482,0.12406259775161743,3,768,39.68953982800008,49152
75.72,-1.15,86.65,-3.0,1450,0.0032489754,0.022623697,2.685168,-0.002476888,0.08296298,0.1881970763206482,4,1024,50.98808719900012,65536
78.99,-2.28,77.38,-1.82,1446,0.0035237402,0.020996094,2.6724415,-0.0034543436,0.11278,0.3309606909751892,5,1280,62.31493974499995,81920
74.56,-1.67,78.71,-2.02,1438,0.0048717675,0.041483562,2.6541035,-0.004334396,0.11126261,0.40105563402175903,6,1536,73.70564854000008,98304
73.07,-1.26,81.72,-1.92,1464,0.0044843815,0.032491047,2.6370606,-0.0053004776,0.09928285,0.5351695716381073,7,1792,84.89260583999999,114688
76.58,-1.78,80.51,-2.07,1473,0.0038630078,0.032023113,2.6364326,-0.005450122,0.09751862,0.5877669453620911,8,2048,96.01171602499994,131072
75.64,-1.09,83.04,-1.32,1452,0.004551788,0.037719727,2.6287208,-0.006604528,0.071995,0.644782155752182,9,2304,107.29148539800008,147456
79.56,-0.84,80.89,-1.19,1452,0.0042261626,0.04201253,2.6337793,-0.008095109,0.06937793,0.6724918782711029,10,2560,118.57569716300009,163840
75.09,-1.12,80.81,-0.92,1474,0.0049406486,0.052490234,2.6237137,-0.009504559,0.06603534,0.7088595032691956,11,2816,129.69093828400014,180224
76.85,-0.18,84.16,-1.31,1475,0.0044926656,0.048787434,2.6296394,-0.008389009,0.056875695,0.7026495337486267,12,3072,140.79202837399998,196608
74.24,0.06,80.52,-1.38,1482,0.007644458,0.09790039,2.603284,-0.009564682,0.059155893,0.704488605260849,13,3328,151.84751780500005,212992
77.3,0.13,79.89,-1.09,1490,0.006608596,0.082865395,2.5971196,-0.010081165,0.041855495,0.7361232042312622,14,3584,162.84381730099994,229376
71.76,0.21,79.95,-0.49,1476,0.0069386684,0.082621254,2.6063757,-0.009967054,0.045285072,0.7268089652061462,15,3840,173.942188064,245760
73.97,0.52,80.93,-1.27,1486,0.007670518,0.100118004,2.5771434,-0.012631033,0.049706206,0.7190824151039124,16,4096,184.96240222699998,262144
75.33,0.54,84.08,-1.34,1483,0.009144075,0.11751302,2.5461814,-0.01117732,0.04276404,0.7351774275302887,17,4352,196.006802139,278528
79.58,0.42,83.49,-1.15,1491,0.009337041,0.12390137,2.5589423,-0.013086327,0.045416083,0.7443200647830963,18,4608,206.99360839400015,294912
77.15,0.65,83.02,-0.83,1493,0.0075152772,0.09651693,2.5584624,-0.012852411,0.028145567,0.7930777072906494,19,4864,217.96199895500013,311296
79.39,0.81,79.39,-0.58,1481,0.009891917,0.12927246,2.5501778,-0.013941207,0.042257115,0.7298555970191956,20,5120,229.01958145000003,327680
79.46,0.8,86.68,-0.94,1482,0.00953092,0.124694824,2.543189,-0.012372833,0.042852078,0.7411478459835052,21,5376,240.07545880700013,344064
83.75,1.15,88.41,-1.18,1487,0.0095079215,0.12638347,2.524082,-0.012709875,0.031945918,0.8037737309932709,22,5632,251.09105079699998,360448
81.45,1.64,88.13,-0.98,1479,0.009896749,0.12790935,2.5274346,-0.011943991,0.035153177,0.7725668698549271,23,5888,262.1635608230001,376832
81.24,1.26,83.34,-0.94,1477,0.009166269,0.11763509,2.5183065,-0.014347229,0.03496565,0.788318395614624,24,6144,273.256037052,393216
87.21,1.03,88.97,-1.0,1493,0.009451089,0.11909994,2.5332792,-0.01422266,0.049093857,0.7387854754924774,25,6400,284.22520531300006,409600
83.76,0.37,86.99,-0.4,1491,0.012070459,0.1572876,2.4916885,-0.015639672,0.05822538,0.7604853361845016,26,6656,295.212734167,425984
76.69,0.58,85.77,-0.57,1478,0.011879001,0.14526367,2.4746585,-0.013195314,0.03531022,0.8492739945650101,27,6912,306.294346895,442368
84.35,0.91,92.23,-0.77,1454,0.013166021,0.16143799,2.4795477,-0.012944646,0.0423671,0.8241375833749771,28,7168,317.55561506000004,458752
84.12,1.3,91.01,-1.02,1487,0.011307735,0.14406331,2.4760206,-0.016311752,0.046428192,0.8374702483415604,29,7424,328.57325020200005,475136
86.72,0.69,87.4,-1.28,1478,0.012216055,0.15138753,2.5114942,-0.015303053,0.049347196,0.7647858262062073,30,7680,339.65431872700015,491520
85.46,1.81,92.05,-0.25,1476,0.01060488,0.13604736,2.4733336,-0.015137531,0.043791648,0.8031667768955231,31,7936,350.74828454399994,507904
88.49,1.76,96.83,-0.13,1486,0.01124533,0.14593506,2.469391,-0.01680219,0.027460443,0.8799640014767647,32,8192,361.7714206380001,524288
87.73,1.84,91.79,0.28,1483,0.012199302,0.15663655,2.442607,-0.014980941,0.048569802,0.8165043890476227,33,8448,372.8140760640001,540672
95.4,1.97,88.59,0.13,1459,0.011946012,0.1537679,2.4543755,-0.016284747,0.048166987,0.8309735059738159,34,8704,384.036760922,557056
93.94,2.15,100.06,0.12,1487,0.011220458,0.14756267,2.4504852,-0.014861834,0.048352156,0.8268159478902817,35,8960,395.05518098100015,573440
95.76,1.58,95.82,0.43,1488,0.013317413,0.16841634,2.4504936,-0.013018594,0.049962793,0.7585792988538742,36,9216,406.065700653,589824
93.82,1.85,101.01,-0.17,1489,0.013566852,0.17578125,2.4195278,-0.016483154,0.041869283,0.8230963200330734,37,9472,417.06949227500013,606208
100.96,1.96,97.3,0.15,1486,0.011781349,0.15146892,2.430493,-0.015724165,0.062983505,0.7505784034729004,38,9728,428.093071924,622592
104.39,1.88,103.54,0.27,1480,0.011939024,0.15985107,2.4234383,-0.017350212,0.04609968,0.8086788058280945,39,9984,439.161821165,638976
109.91,2.78,100.62,0.06,1488,0.012355361,0.15366618,2.401223,-0.017358989,0.044097114,0.8702442348003387,40,10240,450.16645685599997,655360
110.6,2.71,98.57,-0.18,1483,0.011623359,0.15181477,2.4366605,-0.019013898,0.040339343,0.8498210161924362,41,10496,461.2103947820001,671744
99.42,2.56,106.44,0.57,1487,0.012763553,0.16583252,2.4199934,-0.018523337,0.045759927,0.83744116127491,42,10752,472.22272752799995,688128
111.0,1.85,104.13,0.22,1487,0.011222332,0.13846843,2.4283512,-0.018644653,0.056606013,0.8089988082647324,43,11008,483.2378217769999,704512
112.13,2.04,94.53,0.15,1478,0.014339201,0.16774495,2.4108148,-0.01928301,0.061524514,0.7985195368528366,44,11264,494.32017255100004,720896
121.84,2.81,105.21,0.92,1477,0.014897905,0.19307454,2.3854425,-0.014921387,0.05108736,0.8395724594593048,45,11520,505.4127128900002,737280
110.89,2.97,104.26,0.14,1488,0.012318722,0.1575114,2.3872602,-0.015118357,0.10372538,0.7151675224304199,46,11776,516.4227894379999,753664
110.13,2.65,110.15,0.28,1476,0.014106613,0.1772461,2.3978992,-0.015650032,0.07323287,0.7914406955242157,47,12032,527.5182822990002,770048
115.57,3.05,109.54,1.43,1478,0.01470336,0.18306477,2.408428,-0.012998476,0.052118372,0.8508534133434296,48,12288,538.5971704149999,786432
116.49,3.11,107.61,1.35,1475,0.012241124,0.15956624,2.3892453,-0.013355357,0.09237205,0.7834786474704742,49,12544,549.701731028,802816
129.03,3.92,112.35,1.05,1482,0.010588543,0.13659668,2.3985658,-0.016435977,0.060358908,0.8386768251657486,50,12800,560.752428857,819200
123.21,2.99,124.1,1.48,1486,0.014047089,0.17683919,2.3872695,-0.019421088,0.051547427,0.863120973110199,51,13056,571.7741980150001,835584
126.27,3.23,117.64,1.02,1482,0.014750664,0.1872762,2.3923798,-0.01598311,0.08853984,0.8101792931556702,52,13312,582.8247502669999,851968
129.17,3.94,118.78,1.65,1485,0.012012354,0.1587321,2.3677247,-0.017084477,0.06888804,0.8351762145757675,53,13568,593.8540299940003,868352
142.22,3.78,126.91,1.79,1481,0.010718372,0.14308675,2.360481,-0.019767227,0.0613776,0.835762083530426,54,13824,604.9124581230001,884736
137.95,4.59,137.45,2.16,1481,0.012461934,0.16768391,2.342604,-0.008887316,0.12870362,0.7711238116025925,55,14080,615.97062446,901120
125.72,3.74,122.04,1.89,1481,0.012638274,0.16473389,2.352223,-0.012800306,0.08131514,0.835471510887146,56,14336,627.0325609459999,917504
130.75,3.54,125.16,2.33,1484,0.014167771,0.18589275,2.3583019,-0.018696586,0.046419058,0.8937063366174698,57,14592,638.0682769490002,933888
147.96,4.5,119.6,1.32,1486,0.011599518,0.14998372,2.3387327,-0.015737336,0.09462055,0.8506306409835815,58,14848,649.0906223300001,950272
153.19,4.97,131.3,2.12,1490,0.012021811,0.15924072,2.3280559,-0.016222814,0.105184086,0.8356376141309738,59,15104,660.0844442300001,966656
163.78,5.22,134.9,2.6,1486,0.010818724,0.14349365,2.3234637,-0.0141113205,0.11913449,0.847689300775528,60,15360,671.1066038010001,983040
160.93,5.72,149.25,2.98,1487,0.011089214,0.14239502,2.2965193,-0.014696489,0.1159772,0.8624044060707092,61,15616,682.1216363420001,999424
160.05,5.31,138.67,1.57,1470,0.011237512,0.1430664,2.2873452,-0.012476676,0.10590579,0.8878067955374718,62,15872,693.262461473,1015808
150.16,4.78,146.05,2.69,1486,0.01621301,0.2027181,2.2849946,-0.015047219,0.10300994,0.8817417025566101,63,16128,704.2867764509999,1032192
145.82,4.2,125.86,2.05,1481,0.012596832,0.1622111,2.3094523,-0.020827455,0.10036256,0.8729988038539886,64,16384,715.3447666119998,1048576
153.04,5.38,134.51,2.11,1489,0.01171706,0.15171306,2.2576163,-0.017024675,0.10051789,0.9072526022791862,65,16640,726.3456001390002,1064960
174.83,6.55,155.09,2.71,1481,0.011865717,0.15791829,2.2762773,-0.015105486,0.13369371,0.892433375120163,66,16896,737.4081164880001,1081344
169.28,6.09,149.68,3.1,1489,0.010578431,0.13863118,2.2801898,-0.014587174,0.11642349,0.8925024121999741,67,17152,748.4086233750002,1097728
176.12,5.83,145.5,3.09,1489,0.010351786,0.1305542,2.240863,-0.01550389,0.13588317,0.8892899081110954,68,17408,759.4106856400001,1114112
195.07,7.08,161.33,3.51,1494,0.010218763,0.12526448,2.211684,-0.015517049,0.16741465,0.906431533396244,69,17664,770.3757869859999,1130496
174.54,5.58,145.77,3.44,1483,0.013242126,0.1595866,2.2437215,-0.014255465,0.12532479,0.8986356258392334,70,17920,781.4194778210001,1146880
192.24,6.22,135.07,2.42,1485,0.013683237,0.17490642,2.2386649,-0.017236635,0.13271907,0.9052880257368088,71,18176,792.451609812,1163264
184.49,6.61,149.55,3.15,1492,0.015411515,0.1887614,2.2222745,-0.018807167,0.12865068,0.9231030493974686,72,18432,803.4269904270002,1179648
160.48,5.49,153.41,3.34,1492,0.015839871,0.17826335,2.2234254,-0.020231329,0.13859113,0.9143446087837219,73,18688,814.4025764330001,1196032
168.26,5.5,146.74,3.54,1491,0.0151978275,0.19114177,2.228709,-0.021694032,0.09142709,0.9245630949735641,74,18944,825.3871776409999,1212416
195.43,7.85,166.72,4.55,1489,0.010813796,0.14007568,2.17127,-0.015148723,0.19105093,0.9197686910629272,75,19200,836.3876191259999,1228800
211.41,8.53,175.33,3.51,1494,0.013718829,0.17122395,2.1356466,-0.021555888,0.13109255,0.9387297108769417,76,19456,847.3521933710001,1245184
214.96,8.21,168.86,3.2,1492,0.0150071485,0.19203694,2.1406963,-0.02122148,0.13123061,0.9426962323486805,77,19712,858.3330888960002,1261568
200.95,7.4,149.76,2.79,1481,0.014392172,0.18395996,2.1192033,-0.020276384,0.12870038,0.9420047029852867,78,19968,869.3900187330003,1277952
205.39,7.76,164.59,3.3,1490,0.015144542,0.18806966,2.1467357,-0.016383551,0.14453429,0.9295121058821678,79,20224,880.3793782569999,1294336
207.41,8.79,168.03,4.34,1489,0.013717462,0.17252605,2.1019752,-0.017524445,0.15222064,0.951253030449152,80,20480,891.3830466339998,1310720
219.79,10.79,160.52,3.99,1486,0.0120278215,0.15319824,2.0824816,-0.018681578,0.16747771,0.942420806735754,81,20736,902.4067076009999,1327104
225.32,9.16,165.01,3.69,1498,0.013427224,0.17264812,2.105118,-0.023033792,0.15168278,0.9314771592617035,82,20992,913.3395107970002,1343488
203.62,8.53,170.67,2.79,1496,0.017367505,0.20778401,2.0894706,-0.021183008,0.1551329,0.9271589815616608,83,21248,924.2851360530001,1359872
236.38,9.47,154.19,3.41,1499,0.013841681,0.16538493,2.069611,-0.019922331,0.1818077,0.9368303194642067,84,21504,935.2115134620001,1376256
221.54,8.95,186.28,4.86,1494,0.01597006,0.19681804,2.1042883,-0.022862447,0.12795486,0.9494667090475559,85,21760,946.1739082350002,1392640
246.01,11.14,159.59,3.67,1491,0.013199444,0.17224121,2.0515954,-0.014900766,0.18357342,0.9379533752799034,86,22016,957.1564737040001,1409024
220.75,10.3,174.75,4.94,1499,0.012562887,0.1595459,2.0492945,-0.017750027,0.19732924,0.9401098564267159,87,22272,968.0812660429999,1425408
